Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Eritrea,ERI,2023,YR2023,103.0680437,0.6685,0.192629647,..,..,..,..
Estonia,EST,2021,YR2021,-68.8241596,12.3095,9.248782056,38,100,100,24384
Estonia,EST,2022,YR2022,-68.11830585,12.5882,9.332611726,..,100,100,24384
Estonia,EST,2023,YR2023,-71.03542945,11.4364,8.345994924,..,..,..,..
Eswatini,SWZ,2021,YR2021,12.74208145,1.2458,1.032493973,65.4,79.1,94.6,4987.7
Eswatini,SWZ,2022,YR2022,22.40723982,1.3526,1.109673587,64.7,81.6,86.1,4999.8
Eswatini,SWZ,2023,YR2023,25.80995475,1.3902,1.129779132,..,..,..,..
Ethiopia,ETH,2021,YR2021,690.316088,17.2771,0.141454886,90.6,42.8,94.3,169955
Ethiopia,ETH,2022,YR2022,656.5573396,16.5391,0.131907278,..,43,94,169225
Ethiopia,ETH,2023,YR2023,664.269704,16.7077,0.12982734,..,..,..,..
Faroe Islands,FRO,2021,YR2021,31.25,0.0021,0.03938854,5.1,100,100,0.8
Faroe Islands,FRO,2022,YR2022,31.25,0.0021,0.038923488,7.9,100,99.9,0.8
Faroe Islands,FRO,2023,YR2023,31.25,0.0021,0.03854484,..,..,..,..
Fiji,FJI,2021,YR2021,99.81280788,2.0281,2.212365729,29.7,86.8,96,11467
Fiji,FJI,2022,YR2022,110.6995074,2.1386,2.326026569,28.4,86.8,97.6,11533.8
Fiji,FJI,2023,YR2023,117.7832512,2.2105,2.391940659,..,..,..,..
Finland,FIN,2021,YR2021,-29.85530447,39.4364,7.117177226,50.2,100,100,224090
Finland,FIN,2022,YR2022,-35.69417394,36.1537,6.507021284,..,100,100,224090
Finland,FIN,2023,YR2023,-42.60398602,32.2689,5.778906576,..,..,..,..
France,FRA,2021,YR2021,-17.09109408,319.4248,4.708307266,16.2,100,100,173364
France,FRA,2022,YR2022,-19.41851471,310.4579,4.56119638,..,100,100,174198
France,FRA,2023,YR2023,-26.69399801,282.4275,4.135860205,..,..,..,..
French Polynesia,PYF,2021,YR2021,35.25272663,1.1533,4.121990622,7.4,100,100,1494.6
French Polynesia,PYF,2022,YR2022,42.75829717,1.2173,4.341638788,7,100,100,1494.6
French Polynesia,PYF,2023,YR2023,47.64864548,1.259,4.478546376,..,..,..,..
Gabon,GAB,2021,YR2021,-16.74579897,5.1377,2.161674777,91.3,26.8,98.7,235187.2
Gabon,GAB,2022,YR2022,-12.57636402,5.395,2.219482324,..,29,98.5,235068.4
Gabon,GAB,2023,YR2023,-20.16172157,4.9269,1.982824296,..,..,..,..
"Gambia, The",GMB,2021,YR2021,388.5527392,0.5975,0.231947857,48.6,31.2,82.6,2369.333
"Gambia, The",GMB,2022,YR2022,410.3025348,0.6241,0.236718036,47.7,31.2,82.8,2312.011
"Gambia, The",GMB,2023,YR2023,395.3393295,0.6058,0.224549594,..,..,..,..
Georgia,GEO,2021,YR2021,-64.77888217,12.1472,3.275405071,25.2,100,99.9,28224
Georgia,GEO,2022,YR2022,-63.36768305,12.6339,3.403068874,..,100,100,28224
Georgia,GEO,2023,YR2023,-62.70166201,12.8636,3.462160909,..,..,..,..
Germany,DEU,2021,YR2021,-33.09153436,677.8039,8.147065538,17.6,100,100,114190
Germany,DEU,2022,YR2022,-34.89820061,659.5018,7.870139121,..,100,100,114190
Germany,DEU,2023,YR2023,-42.45484544,582.9506,6.999887128,..,..,..,..
Ghana,GHA,2021,YR2021,698.7703609,25.0095,0.769081388,39,74,95.2,79929.333
Ghana,GHA,2022,YR2022,691.7183009,24.7887,0.747792885,..,71.6,95,80001.611
Ghana,GHA,2023,YR2023,671.7598211,24.1638,0.715161048,..,..,..,..
Gibraltar,GIB,2021,YR2021,349.7218359,0.6467,17.54571599,0,100,100,0
Gibraltar,GIB,2022,YR2022,369.4019471,0.675,17.94783164,..,100,100,..
Gibraltar,GIB,2023,YR2023,378.8595271,0.6886,17.8991968,..,..,..,..
Greece,GRC,2021,YR2021,-30.42763876,54.1984,5.127953308,21.5,100,100,39018
Greece,GRC,2022,YR2022,-29.4855601,54.9323,5.263286487,..,100,100,39018
Greece,GRC,2023,YR2023,-33.66811207,51.674,4.965985584,..,..,..,..
Greenland,GRL,2021,YR2021,49754.54545,0.5484,9.679981643,11.6,100,100,2.2
Greenland,GRL,2022,YR2022,52245.45455,0.5758,10.16219269,11.7,100,100,2.2
Greenland,GRL,2023,YR2023,52827.27273,0.5822,10.23828365,..,..,..,..
Grenada,GRD,2021,YR2021,165.3543307,0.1348,1.155217332,10.2,..,..,177
Grenada,GRD,2022,YR2022,166.3385827,0.1353,1.157270791,10,..,..,177
Grenada,GRD,2023,YR2023,180.9055118,0.1427,1.218814325,..,..,..,..
Guam,GUM,2021,YR2021,100,0.0004,0.002443046,4.5,100,100,280
Guam,GUM,2022,YR2022,100,0.0004,0.002421601,6.7,100,100,280
Guam,GUM,2023,YR2023,100,0.0004,0.002402316,..,..,..,..
Guatemala,GTM,2021,YR2021,417.1601563,20.2432,1.150270049,62.1,98.1,97.6,35162
Guatemala,GTM,2022,YR2022,410.3671154,19.9773,1.119309596,..,98.2,97.7,35046
Guatemala,GTM,2023,YR2023,445.4206372,21.3494,1.177908459,..,..,..,..
Guinea,GIN,2021,YR2021,288.4306261,3.673,0.267896613,66.8,21.3,89.8,61490
Guinea,GIN,2022,YR2022,302.7918782,3.8088,0.270989888,66.6,21.3,91,61090
Guinea,GIN,2023,YR2023,292.9145516,3.7154,0.257915952,..,..,..,..
Guinea-Bissau,GNB,2021,YR2021,102.3117961,0.3413,0.165772879,87.4,15.8,60.5,19715.7
Guinea-Bissau,GNB,2022,YR2022,111.3218731,0.3565,0.16931612,87.4,15.8,61,19631.3
Guinea-Bissau,GNB,2023,YR2023,105.0978068,0.346,0.160680692,..,..,..,..
Guyana,GUY,2021,YR2021,178.5890773,3.2698,4.009653187,13.2,91.2,97.5,184061.333
Guyana,GUY,2022,YR2022,183.0535912,3.3222,4.043391425,12.1,91.6,98,183969.311
Guyana,GUY,2023,YR2023,181.5199796,3.3042,3.998533314,..,..,..,..
Haiti,HTI,2021,YR2021,198.7383914,3.4098,0.299773548,76.7,..,81.8,3441.9
Haiti,HTI,2022,YR2022,197.1876643,3.3921,0.294872756,..,..,83,3410.8
Haiti,HTI,2023,YR2023,209.8387945,3.5365,0.303890956,..,..,..,..
Honduras,HND,2021,YR2021,319.5728782,9.8822,0.96038077,45.9,85.7,100,63383.1
Honduras,HND,2022,YR2022,338.5173863,10.3284,0.987053358,..,86.8,100,63173.6
Honduras,HND,2023,YR2023,364.7306076,10.9458,1.028271791,..,..,..,..
